RefSeq.Locus.Tag	Gene.Symbol
Rv0018c	pstP
Rv0096	ppe1
Rv0256c	ppe2
Rv0282	eccA3
Rv0283	eccB3
Rv0284	eccC3
Rv0290	eccD3
Rv0292	eccE3
Rv0431	AT103
Rv0442c	ppe10
Rv0631c	recC
Rv0800	apeB
Rv0820	pstB1
Rv0878c	ppe13
Rv0949	pcrA
Rv1010	rsmA
Rv1098c	fumC
Rv1159	pimE
Rv1347c	mbtK
Rv1548c	ppe21
Rv1701	xerD
Rv1705c	ppe22
Rv1782	eccB5
Rv1783	eccC5
Rv1795	eccD5
Rv1797	eccE5
Rv1798	eccA5
Rv1800	ppe28
Rv1808	ppe32
Rv1832	gcvP
Rv1966	mce-3
Rv2068c	blaA
Rv2097c	pafA
Rv2108	ppe36
Rv2136c	uppP
Rv2199c	ctaF
Rv2333c	stp
Rv2356c	ppe40
Rv2608	ppe42
Rv2879c	rlmN
Rv3312A	mtp
Rv3447c	eccC4
Rv3448	eccD4
Rv3450c	eccB4
Rv3535c	mhpF
Rv3539	ppe63
Rv3667	acsA
Rv3682	pon1
Rv3868	eccA1
Rv3869	eccB1
Rv3869	eccB1
Rv3870	eccCa1
Rv3871	eccCb1
Rv3877	eccD1
Rv3881c	espB
Rv3882c	eccE1
Rv3884c	eccA2
Rv3885c	eccE2
Rv3887c	eccD2
Rv3894c	eccC2
Rv3895c	eccB2
